GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2
 "04000","Arizona",6,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.504,96.111,97.856,98.098,99.929,100.169,101.345,102.594,102.884,103.992,105.300,105.228,105.127,105.002,103.766,99.914,96.439,94.548,93.673,94.796,93.947,95.492,96.533,97.622,97.123,97.455,97.787,99.768,99.818,100.263,99.893,100.026,100.447,100.391,100.776,101.395,101.491,101.857,102.498,102.272,103.604,104.047,103.776,104.984,106.551,106.670,107.586,108.423,110.116,110.896,111.777,112.916,114.922,115.564,115.861,115.809,118.744,119.318,119.466,119.769,121.968,111.061,119.159,120.183,120.414,122.072
 "04000","Arizona",6,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",220647.6,225552.6,231487.1,233976.4,240385.0,242839.9,247795.9,252806.9,256004.6,259985.9,264576.2,265001.2,264549.9,265361.0,264331.3,257462.0,249753.9,245160.8,243381.8,247400.8,245589.8,249783.0,252857.5,256381.9,256374.6,258934.3,261472.5,266881.5,269074.1,271604.9,271633.6,273447.5,275876.3,276875.9,279361.5,282252.8,283488.1,286289.0,289914.0,290975.5,295882.1,298929.9,299379.0,303382.0,308254.0,310978.5,314562.4,318530.6,324770.9,327998.9,331786.0,337108.7,344678.0,349542.9,351746.3,353662.6,364486.7,368980.4,371745.0,374740.6,383723.3,348825.5,378535.8,383791.3,388598.8,400155.7
 "05000","Arkansas",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",104693.3,105271.5,105872.6,108082.4,108122.4,109421.7,108515.5,107782.7,105496.6,106460.1,106792.1,111675.6,106514.9,107887.2,107000.4,104743.4,105389.1,101652.8,102153.5,102791.0,102789.8,105525.4,107112.0,107220.9,106992.8,107614.0,107800.8,109322.6,109050.0,109000.4,108335.1,107582.7,110536.4,110322.7,111177.9,110972.6,110925.0,111544.9,112045.8,112422.3,111583.0,112224.6,112863.5,112732.8,112260.0,112461.2,112991.2,113480.1,112484.2,113377.7,114129.3,115549.5,114969.4,115905.9,116320.5,116554.5,115766.1,116427.2,117147.5,117822.9,118650.7,107249.5,116255.4,117618.3,119680.2,120905.3
 "05000","Arkansas",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.499,97.032,97.586,99.622,99.659,100.857,100.022,99.346,97.239,98.127,98.433,102.934,98.178,99.442,98.625,96.545,97.140,93.696,94.158,94.745,94.744,97.266,98.728,98.828,98.618,99.191,99.363,100.765,100.514,100.469,99.855,99.162,101.884,101.687,102.476,102.286,102.242,102.814,103.276,103.623,102.849,103.440,104.029,103.909,103.473,103.658,104.147,104.598,103.680,104.503,105.196,106.505,105.970,106.834,107.216,107.431,106.705,107.314,107.978,108.600,109.363,98.855,107.156,108.412,110.312,111.442
 "05000","Arkansas",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",89068.5,89829.1,91062.3,93591.1,94375.6,96268.5,96468.3,96388.1,95510.7,97088.5,98009.8,102917.6,98495.2,100579.9,100787.6,98964.4,99555.2,95965.2,96634.7,97877.5,98284.6,101131.8,102983.7,103546.0,104016.7,105355.4,106202.4,107497.9,108006.5,108549.9,108667.9,108744.1,112468.8,112520.9,113828.9,114090.7,114519.0,115882.2,116756.3,117400.3,116367.9,117583.7,118665.1,118530.4,117857.9,118804.7,119471.4,120475.6,120147.4,121367.0,122777.4,125108.8,125095.1,127179.7,127904.0,129047.2,128697.0,130155.7,131572.3,132934.4,134410.5,121146.1,132589.0,134857.2,139172.7,143438.4
 "06000","California",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",1896451.4,1913819.0,1940272.3,1956825.6,1998965.4,1992185.0,2003116.6,2015482.7,2010197.5,2028647.2,2047151.8,2078772.2,2048458.1,2090779.0,2089111.0,2018207.0,2014380.2,1989827.3,1983954.8,1993596.4,2014927.8,2023682.5,2030692.7,2074757.2,2063725.7,2066176.3,2057265.9,2068142.1,2097468.6,2100537.7,2112352.9,2142026.6,2138941.9,2156746.2,2184393.8,2236834.0,2216087.8,2241222.5,2281298.4,2285610.2,2332010.5,2362335.5,2365812.5,2369653.2,2414827.5,2414125.1,2433523.6,2449102.2,2502381.6,2527225.0,2555034.0,2582436.5,2609946.0,2635811.3,2657272.8,2671274.9,2701573.9,2735923.6,2755341.2,2764535.1,2753260.2,2505762.2,2693845.4,2701795.9,2777816.6,2832619.1
 "06000","California",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.748,90.569,91.821,92.605,94.599,94.278,94.795,95.381,95.130,96.004,96.879,98.376,96.941,98.944,98.865,95.509,95.328,94.166,93.889,94.345,95.354,95.769,96.100,98.186,97.664,97.780,97.358,97.873,99.260,99.406,99.965,101.369,101.223,102.066,103.374,105.856,104.874,106.063,107.960,108.164,110.360,111.795,111.960,112.141,114.279,114.246,115.164,115.901,118.422,119.598,120.914,122.211,123.513,124.737,125.753,126.415,127.849,129.475,130.394,130.829,130.295,118.582,127.483,127.860,131.457,134.051
 "06000","California",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",1657292.4,1680340.0,1715935.1,1740674.1,1789641.0,1797006.6,1820211.6,1841980.7,1855811.4,1883992.9,1910858.6,1944945.1,1920582.3,1964303.1,1976074.2,1917821.8,1910813.6,1881658.2,1876005.3,1892186.4,1919069.0,1937908.1,1953261.5,2006132.2,2007608.8,2022198.7,2027032.7,2037160.0,2079759.5,2094742.1,2118154.5,2159729.7,2167627.5,2191853.4,2228668.7,2293409.9,2277808.7,2315807.3,2367246.4,2380283.6,2434212.2,2476522.9,2489391.9,2494096.5,2541868.3,2553894.4,2578023.3,2604750.2,2673164.4,2707199.4,2749409.0,2794122.9,2834419.2,2885423.5,2915582.1,2944979.2,2990735.7,3045055.3,3076858.9,3097931.0,3098986.1,2812494.6,3046248.7,3071021.4,3183281.0,3290169.6
 "08000","Colorado",7,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",250734.2,251939.1,253059.7,250500.7,256879.2,255511.4,259127.6,258202.5,261339.4,265303.1,267714.0,273193.4,270427.7,272668.6,272262.6,268566.7,267475.2,262831.1,264442.7,265116.1,264279.2,265486.2,268419.5,273250.7,270474.2,271053.5,271376.9,273898.0,275172.9,276919.0,276451.2,278749.5,283490.7,283967.3,287284.3,290294.0,292113.6,295755.1,300430.9,306321.4,309642.5,311206.2,313371.0,315418.9,316453.2,317216.7,319674.8,322468.7,326565.2,328199.2,330823.4,334254.8,340716.2,342122.0,342845.1,344460.2,351734.5,356698.0,358131.0,360530.9,357918.9,326237.5,347703.6,352184.9,358440.7,364737.0
 "08000","Colorado",7,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.576,91.011,91.416,90.491,92.795,92.301,93.608,93.273,94.407,95.838,96.709,98.689,97.690,98.499,98.353,97.017,96.623,94.945,95.528,95.771,95.469,95.905,96.964,98.709,97.707,97.916,98.033,98.943,99.404,100.035,99.866,100.696,102.409,102.581,103.779,104.866,105.524,106.839,108.528,110.656,111.856,112.421,113.203,113.942,114.316,114.592,115.480,116.489,117.969,118.559,119.507,120.747,123.081,123.589,123.850,124.433,127.061,128.854,129.372,130.239,129.295,117.851,125.605,127.224,129.484,131.758
 "08000","Colorado",7,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",216841.7,219446.3,223217.9,223629.0,229764.1,230356.4,235147.8,235318.6,240522.7,246128.3,250109.4,257025.7,255957.0,261629.0,262416.1,255484.8,252786.2,248374.2,250606.2,253144.1,253940.1,255373.3,258953.3,264934.3,264147.5,266862.8,268330.6,270723.3,273614.1,276036.5,276873.8,280768.1,287255.3,289101.3,294140.3,298065.0,301806.8,307147.1,312328.2,316888.2,316793.3,320320.4,322179.3,323591.2,323457.5,327729.9,331676.9,336782.7,343193.9,345778.4,349967.4,356652.6,365865.3,370679.7,373040.7,376112.7,384396.4,392024.6,394123.6,398327.3,395290.4,357257.1,385196.8,392594.3,404124.6,416937.1
 "09000","Connecticut",1,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",236627.0,238189.5,237983.3,241398.4,249100.4,246858.5,246937.1,250039.3,258116.3,258100.6,258695.3,256899.9,269900.2,265383.3,254868.2,240872.2,246919.0,244143.1,243640.6,244876.4,243504.8,245522.0,245500.5,242891.6,237263.1,239617.8,237947.0,239341.7,240932.4,241451.5,240699.6,240564.1,237008.3,235342.3,236373.7,235478.3,231554.2,234565.8,237162.3,239841.4,242291.6,243542.0,242306.5,242686.1,241528.3,241059.1,243700.9,246858.4,243115.1,245770.9,248724.0,251824.2,248276.2,249422.3,250867.3,251426.7,249271.1,251448.8,252395.7,252864.9,244064.7,220981.8,237296.8,241211.0,242303.0,245803.0
 "09000","Connecticut",1,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.221,98.870,98.784,100.202,103.399,102.468,102.501,103.789,107.141,107.135,107.382,106.636,112.033,110.158,105.793,99.984,102.493,101.341,101.133,101.646,101.076,101.914,101.905,100.822,98.485,99.463,98.769,99.348,100.009,100.224,99.912,99.856,98.380,97.688,98.116,97.745,96.116,97.366,98.444,99.556,100.573,101.092,100.579,100.736,100.256,100.061,101.158,102.468,100.915,102.017,103.243,104.530,103.057,103.533,104.132,104.365,103.470,104.374,104.767,104.962,101.309,91.727,98.499,100.124,100.577,102.030
 "09000","Connecticut",1,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",201987.1,204097.8,205354.2,209419.5,217896.9,218199.4,219559.4,223418.0,232781.0,234378.3,236030.4,234973.0,247467.5,243562.6,237223.9,227493.3,234566.4,232238.0,232254.7,234103.7,232715.4,235591.2,236049.7,234443.7,229837.2,233670.8,233821.3,235305.7,238772.4,240728.1,241411.7,242735.6,240516.6,239938.9,242299.8,243314.6,240087.1,244480.8,248804.4,253015.6,257473.1,260034.0,259889.4,260554.6,260037.3,261038.1,264582.0,269023.8,265244.1,269059.6,273539.3,278487.6,276151.7,279804.3,282378.6,284433.5,282915.3,287407.1,290095.3,292018.7,284418.3,258045.4,278962.8,284265.2,286975.2,294649.4
 "10000","Delaware",2,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",58721.4,57325.3,57194.8,64098.7,60658.4,61328.7,60745.3,59764.7,60383.9,61806.6,60284.7,59436.3,58734.6,59173.2,58921.9,57793.0,61222.9,62096.9,62197.6,60553.4,61290.1,59817.6,60268.2,60932.9,62150.3,62703.8,63487.8,63335.4,63922.1,62848.8,62056.8,60590.7,59575.1,59423.6,59772.8,62171.7,62662.9,64638.8,65972.4,66486.2,67205.5,68348.4,66082.5,65537.4,63946.1,63259.7,62691.2,62108.4,61160.6,60341.8,60496.6,61205.9,60438.6,61389.2,62360.8,62751.9,63140.4,64044.9,64582.6,65281.8,63224.2,58832.7,62471.2,63696.9,63113.1,63553.4
 "10000","Delaware",2,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.173,91.934,91.725,102.797,97.280,98.355,97.419,95.846,96.840,99.121,96.680,95.320,94.195,94.898,94.495,92.684,98.185,99.587,99.748,97.111,98.293,95.931,96.654,97.720,99.672,100.560,101.817,101.573,102.514,100.793,99.522,97.171,95.542,95.300,95.859,99.707,100.494,103.663,105.802,106.626,107.780,109.612,105.979,105.104,102.552,101.451,100.540,99.605,98.085,96.772,97.020,98.158,96.927,98.452,100.010,100.637,101.260,102.711,103.573,104.694,101.395,94.352,100.187,102.153,101.216,101.922
 "10000","Delaware",2,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",51134.7,50162.3,50425.6,56891.4,54409.2,55739.2,55526.0,55023.1,56034.8,57700.2,56609.6,56106.7,55475.9,55732.2,55809.7,54821.4,57564.0,58199.2,58359.1,57276.4,58298.1,57410.5,58009.6,58935.9,60135.2,61038.5,62238.0,62077.2,63329.8,62626.2,62261.2,61201.3,60525.2,60609.2,61348.8,64381.5,65239.4,67846.9,69743.9,70588.6,71813.8,73499.3,71454.0,70888.6,69529.6,69467.9,69314.0,69108.4,68326.7,67892.5,68669.0,70166.8,70075.4,71966.2,73485.2,74425.1,74978.5,76637.2,77699.6,78853.4,77067.9,71627.9,76380.0,78070.2,77687.6,79281.5
 "11000","District of Columbia",2,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",99279.0,99650.1,99480.5,99513.3,99556.9,99452.7,100836.2,99376.3,100978.7,101307.0,104347.3,104321.6,106420.7,106616.0,107199.9,106838.9,105274.2,106087.9,105820.9,106392.6,108160.9,110049.9,110406.1,111329.3,111235.6,111870.5,112000.0,111479.8,111730.4,112528.2,112416.7,111952.7,112559.6,111913.8,112178.5,112677.9,113984.1,114015.6,114779.9,115434.6,116180.5,117151.9,116762.1,117138.9,119172.6,119427.8,119695.7,120280.9,119734.2,120370.4,121131.9,122359.0,122250.8,124135.2,124443.7,124514.7,123272.1,124535.6,125638.8,126514.7,124718.0,117581.2,122709.2,124359.9,123849.6,126020.3
 "11000","District of Columbia",2,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.518,88.849,88.698,88.727,88.766,88.673,89.906,88.605,90.033,90.326,93.037,93.014,94.885,95.060,95.580,95.258,93.863,94.589,94.351,94.860,96.437,98.121,98.439,99.262,99.179,99.745,99.860,99.396,99.620,100.331,100.232,99.818,100.359,99.783,100.019,100.464,101.629,101.657,102.339,102.922,103.587,104.454,104.106,104.442,106.255,106.483,106.722,107.243,106.756,107.323,108.002,109.096,109.000,110.680,110.955,111.018,109.910,111.037,112.020,112.801,111.199,104.836,109.408,110.880,110.425,112.361
 "11000","District of Columbia",2,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",83598.2,84739.8,85242.5,85890.0,86978.5,87517.6,89250.7,88753.3,91069.1,92166.8,95765.8,96140.0,98504.6,98937.7,99976.0,100567.7,99442.6,100466.9,100403.6,101471.0,103486.4,106022.3,106793.5,108285.3,108570.7,109659.5,110451.7,110239.6,110966.4,112347.9,112685.0,112628.6,113760.6,113703.8,114435.4,116260.7,117754.7,118418.7,120013.1,121472.0,123047.9,124697.2,124963.5,125710.1,128223.2,129137.5,129983.6,131250.0,131182.0,132463.2,133936.7,135982.9,136714.5,139845.4,140844.8,141734.6,141721.1,143359.8,145370.2,147171.7,146251.9,138510.9,145338.4,148117.9,148229.1,151390.1
 "12000","Florida",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",804997.0,810485.1,824830.4,822710.5,834561.2,837003.8,839043.0,849247.0,844299.4,849761.1,855755.6,850378.4,835076.3,828485.5,814546.1,786172.9,774814.0,766557.9,763621.0,771251.6,766292.5,773469.2,779005.7,781390.4,769089.7,775337.2,768795.4,774862.9,777074.6,775608.8,782108.1,779388.7,789786.3,789901.5,796683.6,802997.2,803195.1,813239.5,822440.7,830058.9,837596.7,849477.1,856691.9,865203.9,872672.9,877577.9,884077.1,891829.0,902743.6,908535.3,916296.5,924289.3,936037.8,942255.9,946604.0,948955.9,963489.6,969088.8,975222.6,978675.7,974511.8,887928.8,952763.1,960799.5,978296.7,994182.3
 "12000","Florida",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.398,104.103,105.945,105.673,107.195,107.509,107.771,109.081,108.446,109.147,109.917,109.227,107.261,106.415,104.624,100.980,99.521,98.460,98.083,99.063,98.426,99.348,100.059,100.365,98.786,99.588,98.748,99.527,99.811,99.623,100.458,100.108,101.444,101.459,102.330,103.141,103.166,104.456,105.638,106.617,107.585,109.111,110.038,111.131,112.090,112.720,113.555,114.551,115.953,116.697,117.693,118.720,120.229,121.028,121.586,121.888,123.755,124.474,125.262,125.706,125.171,114.050,122.377,123.410,125.657,127.697
 "12000","Florida",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",690088.7,698709.0,715915.7,718694.0,736349.4,744377.3,752793.0,768575.7,772022.7,780225.8,790730.1,787871.5,774200.0,769610.2,762423.3,747132.6,740051.6,732371.9,730097.1,739163.3,735061.2,744674.5,751792.2,756187.7,746767.0,756616.3,755561.6,762015.1,770236.6,773982.0,783994.5,785967.1,800612.5,804243.0,815404.2,826747.0,829141.8,844744.3,859527.2,873356.2,887079.8,903590.7,915913.2,927495.9,938193.0,948296.5,957305.2,969615.5,985042.8,994942.8,1008141.9,1022144.8,1039403.9,1055313.3,1063506.6,1073225.6,1096690.2,1111257.2,1124624.6,1133169.7,1134749.2,1035634.0,1120033.0,1133725.9,1163188.9,1198913.1
 "13000","Georgia",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",442968.3,445971.4,447131.5,452540.3,450526.7,451071.0,453474.6,457056.1,450037.1,454087.7,458100.8,461390.3,450430.3,452091.4,447928.8,432608.0,428282.0,428911.5,428320.0,429449.2,429364.0,430871.0,434698.5,439975.3,439716.1,439654.9,441586.3,445549.6,446654.0,448185.3,448784.1,447435.4,453608.2,452996.7,454851.6,458179.3,462157.1,468677.1,473428.0,475776.8,482476.9,488730.0,491353.8,494168.7,501157.5,505600.7,508632.6,511873.9,519148.6,521855.9,526412.6,532081.7,533326.1,538521.1,540832.1,544522.0,552440.7,557416.9,560946.2,562305.1,553333.3,506200.8,540890.6,546347.5,555602.2,563805.4
 "13000","Georgia",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.929,99.599,99.859,101.067,100.617,100.738,101.275,102.075,100.507,101.412,102.308,103.043,100.595,100.966,100.037,96.615,95.649,95.789,95.657,95.910,95.891,96.227,97.082,98.260,98.202,98.189,98.620,99.505,99.752,100.094,100.228,99.926,101.305,101.168,101.583,102.326,103.214,104.670,105.731,106.256,107.752,109.149,109.735,110.363,111.924,112.917,113.594,114.318,115.942,116.547,117.565,118.831,119.109,120.269,120.785,121.609,123.377,124.489,125.277,125.580,123.577,113.051,120.798,122.017,124.084,125.916
