GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2
 "00000","United States", ,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",14767846,14839707,14956291,15041232,15244088,15281525,15304517,15433643,15478956,15577779,15671605,15767146,15702906,15792773,15709562,15366607,15187475,15161772,15216647,15379155,15456059,15605628,15726282,15807995,15769911,15876839,15870684,16048702,16179968,16253726,16282151,16300035,16441485,16464402,16594743,16712760,16654247,16868109,17064616,17141235,17280647,17380875,17437080,17462579,17565465,17618581,17724489,17812560,17896623,17996802,18126226,18296685,18436262,18590004,18679599,18721281,18833195,18982528,19112653,19202310,18951992,17258205,18560774,18767778,19055655,19368310
 "00000","United States", ,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.857,91.299,92.016,92.539,93.787,94.017,94.159,94.953,95.232,95.840,96.417,97.005,96.610,97.163,96.651,94.541,93.439,93.280,93.618,94.618,95.091,96.011,96.753,97.256,97.022,97.680,97.642,98.737,99.545,99.999,100.173,100.283,101.154,101.295,102.097,102.823,102.463,103.778,104.987,105.459,106.316,106.933,107.279,107.436,108.069,108.396,109.047,109.589,110.106,110.723,111.519,112.567,113.426,114.372,114.923,115.180,115.868,116.787,117.588,118.139,116.599,106.178,114.192,115.466,117.237,119.160
 "00000","United States", ,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",12767286,12922656,13142642,13324204,13599160,13753424,13870188,14039560,14215651,14402082,14564117,14715058,14706538,14865701,14898999,14608208,14430901,14381236,14448882,14651248,14764611,14980193,15141605,15309471,15351444,15557535,15647681,15842267,16068824,16207130,16319540,16420386,16629050,16699551,16911068,17133114,17144281,17462703,17743227,17852540,17991348,18193707,18306960,18332079,18425306,18611617,18775459,18968041,19153912,19322920,19558693,19882965,20143716,20492492,20659102,20813325,21001591,21289268,21505012,21694458,21481367,19477444,21138574,21477597,22038226,22740959
 "01000","Alabama",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",182600.4,184625.7,184134.9,186116.9,186539.0,187489.6,187442.8,187611.6,187376.1,188746.2,189934.1,189953.7,188933.9,189288.6,187535.2,182028.9,180072.9,180406.4,180990.1,181359.2,181276.7,183649.6,187004.4,186878.9,185740.7,186746.9,187669.2,190266.5,190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,192989.4,193761.0,194907.1,195477.7,196342.5,196849.3,197768.7,199306.0,200185.0,200925.6,200982.1,201110.8,201651.7,203045.8,203931.3,204906.8,203561.0,184303.7,199018.5,200741.1,201938.1,203961.8
 "01000","Alabama",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.489,97.559,97.299,98.347,98.570,99.072,99.047,99.137,99.012,99.736,100.364,100.374,99.835,100.023,99.096,96.187,95.153,95.329,95.638,95.833,95.789,97.043,98.816,98.749,98.148,98.680,99.167,100.540,100.440,100.682,99.563,99.315,101.405,100.955,101.591,100.539,99.087,100.382,100.967,100.919,100.335,101.210,101.534,101.338,101.978,102.386,102.992,103.293,103.750,104.018,104.504,105.316,105.781,106.172,106.202,106.270,106.556,107.292,107.760,108.276,107.565,97.389,105.164,106.074,106.707,107.776
 "01000","Alabama",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",155702.7,158097.7,159237.5,162349.4,163922.4,166060.1,167426.9,168466.7,169991.5,172482.7,174468.8,174957.8,174508.1,175783.0,175791.0,172023.1,170326.7,170239.2,170973.3,172184.3,172778.3,175855.6,179801.4,180561.3,180499.3,182689.4,185011.7,187466.1,188424.6,190053.1,189027.2,189477.2,194124.9,193786.5,195890.8,195345.5,193282.5,196937.5,199296.5,200110.9,199782.1,202344.6,203858.1,203504.8,204559.5,206632.4,208258.3,210023.3,212191.3,213475.7,215709.6,218967.1,221204.8,223945.9,224763.8,226273.2,227784.8,230344.1,232334.9,234223.7,233524.8,211063.6,230033.7,232963.8,237303.0,243554.6
 "02000","Alaska",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",45176.1,45776.9,45501.7,46173.5,47346.6,48911.2,49486.7,51016.2,51384.8,52275.8,52106.7,51116.5,49885.8,48777.2,50833.6,55511.7,57551.9,56989.5,55545.6,54773.5,53479.1,54794.8,55173.0,54959.1,53410.9,54642.5,55356.9,57711.1,57685.0,59227.9,58744.5,57477.2,56769.5,54798.0,55176.3,54673.4,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,53994.1,53745.5,54206.7,55040.3,52973.5,54013.7,54670.8,54860.1,53098.1,53382.7,53236.3,53281.3,53011.3,53281.7,53565.7,53487.3,52800.9,47143.2,50102.0,50597.8,50024.9,50251.6
 "02000","Alaska",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.511,78.542,78.069,79.222,81.235,83.919,84.907,87.531,88.163,89.692,89.402,87.703,85.592,83.689,87.218,95.244,98.745,97.780,95.302,93.977,91.757,94.014,94.663,94.296,91.640,93.753,94.978,99.018,98.973,101.620,100.791,98.616,97.402,94.020,94.669,93.806,92.274,92.673,93.117,93.829,94.727,93.766,93.613,93.579,92.640,92.214,93.005,94.435,90.889,92.674,93.801,94.126,91.103,91.591,91.340,91.417,90.954,91.418,91.905,91.771,90.593,80.886,85.962,86.813,85.830,86.219
 "02000","Alaska",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",37792.5,39198.7,40905.2,43529.9,43276.9,45016.6,45700.4,46382.5,47104.0,49415.8,50222.5,51592.7,52863.3,56284.1,57741.4,53601.1,50804.3,49588.2,48973.7,50464.9,51903.8,52922.5,53903.5,54596.6,54492.2,57059.1,57102.2,58932.0,58499.4,58652.9,58301.9,57680.4,57879.2,56608.4,57823.3,56679.9,56871.6,57354.7,56748.9,54964.6,52146.2,52193.5,51181.2,50442.7,48896.0,50098.6,51154.8,52761.2,51551.1,52582.9,53416.9,54806.4,53837.8,54760.5,55117.7,55130.9,54185.2,54590.7,54569.6,54842.9,53066.2,45332.2,49715.7,51165.8,52373.8,54020.3
 "04000","Arizona",6,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",256521.4,260884.6,265619.7,266278.2,271247.2,271897.9,275090.9,278481.7,279269.0,282276.6,285827.2,285630.2,285356.3,285017.1,281661.6,271205.2,261774.7,256640.0,254266.1,257313.1,255010.4,259202.3,262030.2,264985.6,263630.3,264532.0,265432.6,270811.2,270945.9,272153.0,271149.3,271511.9,272653.7,272500.2,273546.4,275227.2,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,289221.0,289545.1,292031.6,294303.1,298897.7,301017.0,303406.3,306500.6,311943.0,313686.3,314494.2,314351.4,322319.9,323877.9,324278.1,325101.5,331068.7,301462.7,323445.9,326225.2,326852.2,331353.4
